Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,1.110000,1.120000,1.080000,1.090000,0.986110,5957900
2019-04-18,1.090000,1.100000,1.070000,1.080000,0.977063,3810200
2019-04-22,1.090000,1.090000,1.070000,1.070000,0.968016,2892500
2019-04-23,1.070000,1.070000,1.030000,1.040000,0.940875,9273300
2019-04-24,1.050000,1.070000,1.040000,1.050000,0.949922,9820600
2019-04-25,1.100000,1.170000,1.080000,1.160000,1.049438,35041200
2019-04-26,1.150000,1.170000,1.130000,1.150000,1.040391,12609000
2019-04-29,1.150000,1.180000,1.140000,1.160000,1.049438,7283600
2019-04-30,1.160000,1.160000,1.130000,1.140000,1.031344,3780900
2019-05-02,1.140000,1.150000,1.110000,1.130000,1.022297,8132000
2019-05-03,1.130000,1.160000,1.130000,1.140000,1.031344,7382300
2019-05-06,1.110000,1.110000,1.070000,1.080000,0.977063,13587800
2019-05-07,1.100000,1.110000,1.080000,1.090000,0.986110,6532100
2019-05-08,1.050000,1.060000,1.040000,1.050000,0.949922,7126900
2019-05-09,1.040000,1.050000,0.990000,0.995000,0.900164,15308200
2019-05-10,1.010000,1.030000,1.000000,1.000000,0.904688,7416100
2019-05-13,0.990000,0.990000,0.930000,0.930000,0.841360,12308000
2019-05-14,0.910000,0.980000,0.910000,0.965000,0.873024,13909100
2019-05-15,0.965000,1.010000,0.965000,0.990000,0.895641,17543700
2019-05-16,0.975000,0.985000,0.960000,0.970000,0.894719,8915800
2019-05-17,0.980000,0.985000,0.960000,0.965000,0.890106,4168600
2019-05-21,0.945000,0.950000,0.925000,0.930000,0.857823,7611500
2019-05-22,0.940000,0.955000,0.925000,0.930000,0.857823,7372300
2019-05-23,0.930000,0.930000,0.870000,0.870000,0.802480,15260400
2019-05-24,0.865000,0.900000,0.850000,0.900000,0.830151,9042700
2019-05-27,0.900000,0.905000,0.885000,0.885000,0.816315,4642900
2019-05-28,0.880000,0.895000,0.865000,0.870000,0.802480,6891600
2019-05-29,0.855000,0.870000,0.850000,0.855000,0.788644,7355300
2019-05-30,0.855000,0.875000,0.855000,0.865000,0.797868,7644600
2019-05-31,0.860000,0.870000,0.845000,0.845000,0.779420,5380500
2019-06-03,0.835000,0.845000,0.825000,0.845000,0.779420,4193400
2019-06-04,0.845000,0.855000,0.835000,0.845000,0.779420,4281800
